call_id,target_id,target_number,name,global_keywords_new,extracted_phrases,phrase_count
5511,11,20251007111832,07102025-111023.516379042.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': '2026ce9b-068f-436a-bf6e-903dea85c0b0', 'reference_phrase': 'raat', 'identified_phrase': 'raat'}, {'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': '2026ce9b-068f-436a-bf6e-903dea85c0b0', 'reference_phrase': 'sahab', 'identified_phrase': 'sahab'}, {'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': '2026ce9b-068f-436a-bf6e-903dea85c0b0', 'reference_phrase': 'janab', 'identified_phrase': 'janaab'}, {'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': 'afe98819-1e2c-4386-a6eb-83d2ca2e042e', 'reference_phrase': 'light', 'identified_phrase': 'light'}]","raat, sahab, janaab, light",4
5943,11,20251007111832,07102025-111026.516379119.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': '2026ce9b-068f-436a-bf6e-903dea85c0b0', 'reference_phrase': 'baba', 'identified_phrase': 'baba'}, {'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': 'afe98819-1e2c-4386-a6eb-83d2ca2e042e', 'reference_phrase': 'co', 'identified_phrase': 'co'}, {'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': 'afe98819-1e2c-4386-a6eb-83d2ca2e042e', 'reference_phrase': 'side', 'identified_phrase': 'side'}]","baba, co, side",3
5944,11,20251007111832,07102025-111027.516379155.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': '2026ce9b-068f-436a-bf6e-903dea85c0b0', 'reference_phrase': 'raat', 'identified_phrase': 'raat'}]",raat,1
5587,11,20251007111832,07102025-111041.516379549.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': 'afe98819-1e2c-4386-a6eb-83d2ca2e042e', 'reference_phrase': 'line', 'identified_phrase': 'line'}]",line,1
6113,11,20251007111832,07102025-111047.516379714.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': '2026ce9b-068f-436a-bf6e-903dea85c0b0', 'reference_phrase': 'sahab', 'identified_phrase': 'sahab,'}, {'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': '2026ce9b-068f-436a-bf6e-903dea85c0b0', 'reference_phrase': 'banday', 'identified_phrase': 'banda'}, {'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': '2026ce9b-068f-436a-bf6e-903dea85c0b0', 'reference_phrase': 'janab', 'identified_phrase': 'janaab'}]","sahab,, banda, janaab",3
6114,11,20251007111832,07102025-111048.516379732.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': 'afe98819-1e2c-4386-a6eb-83d2ca2e042e', 'reference_phrase': 'mobile', 'identified_phrase': 'mobile'}]",mobile,1
5646,11,20251007111832,07102025-111051.516379823.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': 'afe98819-1e2c-4386-a6eb-83d2ca2e042e', 'reference_phrase': 'charger', 'identified_phrase': 'charge'}]",charge,1
6154,11,20251007111832,07102025-111120.516380574.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': '2026ce9b-068f-436a-bf6e-903dea85c0b0', 'reference_phrase': 'baba', 'identified_phrase': 'baba'}]",baba,1
5096,11,20251007111832,07102025-111124.516380669.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': 'afe98819-1e2c-4386-a6eb-83d2ca2e042e', 'reference_phrase': 'brigade', 'identified_phrase': 'brigade'}, {'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': 'afe98819-1e2c-4386-a6eb-83d2ca2e042e', 'reference_phrase': 'naik', 'identified_phrase': 'naik'}, {'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': 'afe98819-1e2c-4386-a6eb-83d2ca2e042e', 'reference_phrase': 'unit', 'identified_phrase': 'unit'}]","brigade, naik, unit",3
6160,11,20251007111832,07102025-111133.516380868.wav,"[{'label': 'd6477452-f595-491d-89b5-0d6ac27980a3', 'language': 'afe98819-1e2c-4386-a6eb-83d2ca2e042e', 'reference_phrase': 'shoot', 'identified_phrase': 'shoot'}]",shoot,1
